,prin1,prin2,prin3
"Subtype: High Income, expensive child",-0.2765101804956677,0.13719744731939412,0.012814644146913277
Subtype: Very Important Provincials,-0.0963292380475375,0.08193007036265854,-0.010750397023657763
Subtype: High status seniors,-0.10173451549575463,0.12158946555239794,0.05930903745204935
Subtype: Affluent senior apartments,-0.029494635272197724,0.08563092442592173,0.01248208367911872
Subtype: Mixed seniors,0.01334456010047871,0.04754766667423168,0.030716035773473364
Subtype: Career and childcare,-0.20316295729717596,0.06441117883505151,-0.019291945454049338
Subtype: Dinki's (double income no kids),-0.09809971972501393,0.049862733054589985,-0.029335330804054257
Subtype: Middle class families,-0.29097872638240885,0.05857627421579373,-0.09305597939443652
"Subtype: Modern, complete families",0.05388087940996958,0.057787000912765916,-0.17797920493635652
Subtype: Stable family,-0.1802476009068983,-0.0070452365180911445,-0.1023764108856557
Subtype: Family starters,-0.05976728241754612,0.01203699874540534,0.027544669257268627
Subtype: Affluent young families,-0.1452299684294632,-0.02148887648106163,-0.09060479493380882
Subtype: Young all american family,-0.11408867317007954,0.11857496116508957,-0.12550520834927764
Subtype: Junior cosmopolitan,,,
Subtype: Senior cosmopolitans,0.01117636726683703,0.04151500636740117,0.05826941927125511
Subtype: Students in apartments,0.04793957205493149,0.13576078599401337,0.06150562356413411
Subtype: Fresh masters in the city,0.011481607379363356,0.03509853520441034,0.022785795425606978
Subtype: Single youth,0.03366640064894575,0.15242225192379408,0.06710788706977319
Subtype: Suburban youth,0.014550694797507617,0.01860380990540823,0.012129526696476876
Subtype: Etnically diverse,0.07405550402980388,0.01799481700495641,-0.042249106008119874
Subtype: Young urban have-nots,0.05080001923970885,0.03362284840621552,-0.002106071803894879
Subtype: Mixed apartment dwellers,0.07491277055730304,0.06610529387186342,-0.011425711702858806
Subtype: Young and rising,0.19429257905207725,0.24703037653602825,-0.006566370815038894
"Subtype: Young, low educated ",0.18193035662250762,0.05823518356288406,0.009461451434196858
Subtype: Young seniors in the city,0.08160822705134661,0.12607559616476924,0.0317786192846859
Subtype: Own home elderly,0.15591808625763728,0.07541090968453854,0.1313195645804371
Subtype: Seniors in apartments,0.10463919566091177,0.04152712698410453,0.03271247505413586
Subtype: Residential elderly,0.01204441042381672,0.05340047665853154,0.09570313677530776
Subtype: Porchless seniors: no front yard,0.05782655420226042,-0.040150320297511206,0.05024760827951196
Subtype: Religious elderly singles,0.14880127663187487,0.005264089282131075,0.11511572507259195
Subtype: Low income catholics,0.23189823952519062,-0.05369201268094953,-0.05120126787020449
Subtype: Mixed seniors_,0.08993433463021186,-0.01427615534566665,0.04887970602816881
Subtype: Lower class large families,0.04218604169507192,-0.3567158198373941,0.04674604478667592
"Subtype: Large family, employed child",-0.03557735871141567,-0.17569513316466198,-0.005491351604384343
Subtype: Village families,0.011991846561705526,-0.06159453524015034,0.04353475688645942
Subtype: Couples with teens 'Married with children',0.03393653287591186,0.010908483859887061,0.008837490365490603
Subtype: Mixed small town dwellers,-0.005577990914826333,0.012749898796963944,0.029075042832184816
Subtype: Traditional families,0.12522311201111938,-0.08162151871935515,-0.05478375115178533
Subtype: Large religous families,0.05745298223286605,-0.11302600363823731,-0.01224768592147164
Subtype: Large family farms,-0.09870743660788328,-0.02240169130150806,0.10165266305428919
Subtype: Mixed rurals,-0.07566059882753053,-0.09797803325520049,0.10367767093298194
Number of houses,-0.018849064502439734,-0.03325391300228558,0.05021913037216547
Avg size household,-0.40702286460050874,-0.4593083127926678,-0.27926933074697297
Avg age ,0.09132209156744356,0.11858889584116682,0.2948033111149207
Type: Successful hedonists,-0.25076817530745743,0.22626340286869953,0.05614493593483122
Type: Driven Growers,-0.3754338829343866,0.09672206767700946,-0.09640898544235438
Type: Average Family,-0.18802590691648102,0.08521582632258737,-0.23549950601957956
Type: Career Loners,0.05886728137220465,0.20000813387803243,0.10548652458497222
Type: Living well,0.2963714805793295,0.24124909429740618,-0.013588651888448417
Type: Cruising Seniors,0.1853281809381821,0.15733683043834826,0.13507233920275397
Type: Retired and Religeous,0.2889482487043965,-0.05536308905565003,0.0696127245076776
Type: Family with grown ups,0.036952557658980895,-0.3646898361362124,0.06644414045349084
Type: Conservative families,0.1336622391262847,-0.14183607725183361,-0.04914606459397803
Type: Farmers,-0.11660350701150658,-0.09654944849874611,0.1424247315961737
Roman catholic,-0.19315771723914266,0.25081088312735045,-0.022471544296024097
Protestant,-0.14979296015747534,-0.24709098976426605,0.20703209331802377
Other religion,0.13270182678555004,0.11998939071967409,-0.04348563801587821
No religion,0.19578500492352985,0.11676652045842557,-0.19520449860949438
Married,-0.541390209651673,-0.46219232821392014,-0.34675528291724605
Living together,0.16296647240902576,0.20537400115156731,-0.046143968677003426
Other relation,0.5381086319472083,0.4358056217236984,0.4163271840308204
Singles,0.4700400148513514,0.51562626483856,0.3805984099559092
Household without children,-0.11186896146386882,0.13357267831832487,0.007113301034758357
Household with children,-0.29347422513659693,-0.5205942799175657,-0.31846584289857977
High level education,-0.5172523021169598,0.5116532811974517,-0.04327123933415176
Medium level education,-0.3346839057133869,0.3789611068660892,-0.21261444651959593
Lower level education,0.6039742673462222,-0.6169248595548688,0.18509061495996207
High status,-0.5917645246933397,0.4220776286574321,0.05562510246924568
Entrepreneur,-0.2158106608974192,0.1358789507432641,0.02646716726536766
Farmer,-0.07885432633231503,-0.11493727347463312,0.29676197546722216
Middle management,-0.10046606015604148,0.1939485422147361,-0.3126225839838138
Skilled labourers,0.3451846602664824,-0.5129298866040027,0.027593268313054482
Unskilled labourers,0.509482285729735,-0.0981140673977202,0.12584800153609418
Social class A,-0.6078265805722812,0.4395561804198661,0.020762194226631135
Social class B1,-0.19677579762217234,0.2910547873616219,-0.1613541625846773
Social class B2,-0.18459313499230623,0.09516994908915254,0.05130851998966383
Social class C,0.5259935315372478,-0.5723501885748283,-0.06069161799085041
Social class D,0.463762169140741,-0.052593928200038005,0.2121951404950121
Rented house,0.8334168434766396,0.32251234995515793,-0.3598972022551791
Home owners,-0.8334080658400348,-0.3229874317120359,0.36036888426533936
1 car,-0.34303727516464927,-0.16406061217895015,-0.40158895716903115
2 cars,-0.2867654375259365,-0.13992589777095596,0.06115956416758201
No car,0.5825837494895988,0.27048021790089927,0.36791858044416637
National Health Service,0.6606209886978993,-0.42530702423923294,-0.02042206820563805
Private health insurance,-0.6613198483840486,0.4254179595950952,0.018335704097713287
Income < 30.000,0.6616946145300405,0.1989613206925603,0.23838015397012535
Income 30-45.000,0.11765853513631276,-0.3728656094611627,-0.13826282168281653
Income 45-75.000,-0.561014541697385,0.0978608566438725,-0.12653720445201172
Income 75-122.000,-0.369486235540971,0.12232243658437061,-0.024145120615419124
Income >123.000,-0.24956334218882262,0.15043499549940317,0.04937806527770376
Average income,-0.6558742320692615,0.07078908624926859,-0.16773911767271832
Purchasing power class,-0.6429353252832993,0.07301727208528137,-0.17398534900196858
Contribution private third party insurance,-0.028327922494159052,0.03251624724161888,-0.05774067480140425
Contribution third party insurance (firms),-0.028404163661052584,-0.016573467951762916,0.020050305212745985
Contribution third party insurane (agriculture),-0.02995542530128514,-0.06552761323139589,0.018364222310339396
Contribution car policies,-0.03387264999214233,-0.06449015860208235,-0.5352991949270269
Contribution delivery van policies,-0.0013062076999610485,0.007388766202695881,0.015954023652861863
Contribution motorcycle/scooter policies,-0.015207180019115694,-0.03285160071143501,-0.030697049309615747
Contribution lorry policies,-0.011345703035713877,-0.010098790837836612,0.007976743643650544
Contribution trailer policies,-0.01475643857848077,-0.026774452760977105,0.013892491878222751
Contribution tractor policies,-0.04085112231473332,-0.061017851759041355,0.024862956470937315
Contribution agricultural machines policies ,-0.008789053830822555,-0.027543881332509266,0.018375946035157766
Contribution moped policies,0.010286267263375698,-0.04430418388262185,0.11663529297611754
Contribution life insurances,-0.0628643782703041,0.006232076889542103,-0.05674247719925079
Contribution private accident insurance policies,0.0020116930295499265,-0.007823532234398793,0.001046880788047262
Contribution family accidents insurance policies,-0.029837190366128565,-0.01593966882091155,-0.03908058884974737
Contribution disability insurance policies,-0.01835464618386622,-0.01716582445709266,0.024846598814891766
Contribution fire policies,-0.16602705898159617,-0.08702777105433342,0.061741399295223424
Contribution surfboard policies,-0.02117822479214918,-0.0028846688809609487,0.011934394467806581
Contribution boat policies,-0.020516701578191646,0.0053593873943000156,0.0049952538349200765
Contribution bicycle policies,-0.035169533644933096,0.009233514202253212,0.016184898472978004
Contribution property insurance policies,-0.01895690674627379,0.01361371006974772,-0.016946893098140205
Contribution social security insurance policies,-0.06513160918629793,0.0016478683851294076,-0.061279812308815074
Number of private third party insurance 1 - 12,-0.016874890261704335,0.030408006552842672,-0.05063221837638782
Number of third party insurance (firms),-0.031200151861791977,-0.021088125858775855,0.024388084606633356
Number of third party insurane (agriculture),-0.03034747067241425,-0.06658614437115427,0.01746183032354812
Number of car policies,-0.0443018771343295,-0.05799625634553438,-0.48644935380299215
Number of delivery van policies,0.0024411850999330707,0.007431056126318519,0.018232034505133256
Number of motorcycle/scooter policies,-0.01073449229727532,-0.024589763900977394,-0.026519878993833308
Number of lorry policies,-0.012781192127100216,-0.007139672462329733,0.003705765310896282
Number of trailer policies,-0.013328990230983667,-0.027305138384128142,0.006193608529044639
Number of tractor policies,-0.044916932117602545,-0.052167943201383245,0.019706518231536286
Number of agricultural machines policies,-0.0014564386974200252,-0.022905945067848387,0.007157182469534203
Number of moped policies,0.015539025338826817,-0.04481701393949574,0.11132916025167025
Number of life insurances,-0.040947515724995116,-0.0001960873505147596,-0.05407766054812342
Number of private accident insurance policies,0.0007320846671066765,-0.000988250855685179,-0.004804541995330997
Number of family accidents insurance policies,-0.028873311244524788,-0.020073401815941302,-0.03522288864443844
Number of disability insurance policies,-0.01662894373867368,-0.01799896474630638,0.021621026158996262
Number of fire policies,-0.06872908901167353,-0.03043700572464869,0.07633432590617673
Number of surfboard policies,-0.026170941802590914,7.117493654066057e-05,0.01602967484721513
Number of boat policies,-0.02303356283299438,-0.0011329306586814155,-0.0038015378076678838
Number of bicycle policies,-0.04066870297895799,0.01148034577874155,0.011575066061767529
Number of property insurance policies,-0.02111987638925185,0.0007898088904244073,-0.02082759718584115
Number of social security insurance policies,-0.061989914229812475,0.0029108203817203256,-0.06664435603939671
Number of mobile home policies 0 - 1,-0.11266415394669503,-0.0012697200041782999,-0.10197892785997442
