,prin1,prin2,prin3
"Subtype: High Income, expensive child",-0.03315069815962939,-0.2790997475280036,0.1295331492960373
Subtype: Very Important Provincials,-0.02341692309411702,-0.09790844465752462,0.07891674962492234
Subtype: High status seniors,0.0907623548916307,-0.10277253152577125,0.12278748255016116
Subtype: Affluent senior apartments,0.06734050406411589,-0.030162916192452566,0.08877650196104282
Subtype: Mixed seniors,-0.0237038115736803,0.012259454621339226,0.044577887228493776
Subtype: Career and childcare,0.019926526840911254,-0.20395243629888257,0.06291440299633705
Subtype: Dinki's (double income no kids),0.009922926214402007,-0.09872557229008186,0.05095184697036584
Subtype: Middle class families,0.1480854011135327,-0.2901433576177719,0.06773482806954394
"Subtype: Modern, complete families",0.11789062573646761,0.054436032629183735,0.07441863994889447
Subtype: Stable family,0.135779447926648,-0.17850513871478968,0.0032516076597182107
Subtype: Family starters,0.056017374209154897,-0.05936232753400258,0.01354278660302322
Subtype: Affluent young families,0.06335770017578363,-0.14402758683617886,-0.015141510915568267
Subtype: Young all american family,0.11919818995087927,-0.11453153272469208,0.1304149771978275
Subtype: Junior cosmopolitan,,,
Subtype: Senior cosmopolitans,-0.06047137212686078,0.00974452222975168,0.03459277862444264
Subtype: Students in apartments,-0.12292671639686122,0.044313268233112865,0.12605204414709445
Subtype: Fresh masters in the city,0.013695513373634446,0.011033333758057625,0.03513009280005717
Subtype: Single youth,-0.10111070150042001,0.029983504783449775,0.14309920038166396
Subtype: Suburban youth,-0.008170332236860055,0.014140760399624754,0.017769480553648277
Subtype: Etnically diverse,0.024870004873642965,0.07407587703300901,0.022701234724754226
Subtype: Young urban have-nots,-0.027859671412571726,0.049937300562149026,0.03269454311341142
Subtype: Mixed apartment dwellers,-0.059464996119152826,0.07322384820949258,0.0649450315885926
Subtype: Young and rising,-0.06730643313486494,0.18960114213083776,0.24792995971088752
"Subtype: Young, low educated ",-0.08510841069316324,0.18002292274797482,0.05551043518702853
Subtype: Young seniors in the city,-0.06332068390079736,0.07883263182676682,0.1223245719683699
Subtype: Own home elderly,-0.08907823499217236,0.15352008311861454,0.06552898188284358
Subtype: Seniors in apartments,-0.043478790042672744,0.1034307987090655,0.03867973794705233
Subtype: Residential elderly,-0.08041908147329056,0.010137364584575656,0.043110188661547026
Subtype: Porchless seniors: no front yard,-0.048885238180076056,0.05786948646744721,-0.044642168407690586
Subtype: Religious elderly singles,-0.08335687615244447,0.1476328937214252,-0.003369211659199679
Subtype: Low income catholics,-0.051827037491259456,0.23224457156255113,-0.050581541103290335
Subtype: Mixed seniors_,-0.07201867833826897,0.08930250632504064,-0.0196679409304787
Subtype: Lower class large families,-0.06080982419339046,0.047238078553773176,-0.36206247494907995
"Subtype: Large family, employed child",-0.009279957881825979,-0.03281072442583972,-0.17659395395355482
Subtype: Village families,0.029830342678608422,0.01323095905596168,-0.06237510846881819
Subtype: Couples with teens 'Married with children',-0.027561412337112148,0.033451769116072304,0.00956349118623369
Subtype: Mixed small town dwellers,-0.01356673425741796,-0.005967306338818979,0.010363047733182367
Subtype: Traditional families,0.05197564323463584,0.12716538077545758,-0.07406014834588459
Subtype: Large religous families,0.07645405349316865,0.06013693263653318,-0.10671193790531978
Subtype: Large family farms,-0.17145097633195175,-0.10036523405536267,-0.03996743260231237
Subtype: Mixed rurals,-0.07268824864781658,-0.07501557748053793,-0.1091495433331378
Number of houses,-0.03794806917167582,-0.018817222506062836,-0.03905961097285716
Avg size household,0.19723338413484895,-0.39708329999846836,-0.44165376230840103
Avg age ,-0.04215571613690816,0.0884676239266161,0.10125594143868175
Type: Successful hedonists,0.051470459029125205,-0.2539355426050575,0.2222239874519589
Type: Driven Growers,0.1366482632280881,-0.3753280442329292,0.10394418663641608
Type: Average Family,0.2390687570650408,-0.18646605709883407,0.10862362279035191
Type: Career Loners,-0.14477231295922607,0.05388507769360863,0.1866110292212227
Type: Living well,-0.12068659243801295,0.2911763343859254,0.240651365254726
Type: Cruising Seniors,-0.13448251903505148,0.18109563908823048,0.14501439657406853
Type: Retired and Religeous,-0.13083704021415876,0.2882891985319513,-0.06224905483192112
Type: Family with grown ups,-0.05501148719158873,0.042168785562892296,-0.37093634822537375
Type: Conservative families,0.09356312916442039,0.1370333067687443,-0.1317056023573901
Type: Farmers,-0.15159632892833608,-0.1169002851550474,-0.11531125517881564
Roman catholic,-0.10680431530664423,-0.19836553177090785,0.24198780198766523
Protestant,0.049865434135004626,-0.14543277267056215,-0.25547871204880734
Other religion,-0.02049663757672035,0.13059966851312665,0.12354269123412069
No religion,0.0563373268139894,0.19463386060855709,0.13094441178049682
Married,0.294756430883105,-0.5302221504391913,-0.4372980597305367
Living together,-0.09719830935290162,0.1586760301768189,0.20606502741498872
Other relation,-0.24424932033544278,0.5277801375908903,0.40939538480358406
Singles,-0.2189707027109505,0.4587661818842476,0.49173137916926885
Household without children,0.03268796791823368,-0.11363771559495138,0.13448110928647314
Household with children,0.17914006536920216,-0.2827036516461164,-0.5004814614329355
High level education,-0.04629304481790961,-0.5259781840030469,0.501707720196796
Medium level education,0.15011862874136703,-0.33881281563323823,0.39534322939542854
Lower level education,-0.05706154265266566,0.6130059925043209,-0.6210734724519253
High status,-0.023205776084299586,-0.5989642954998522,0.40638400671877234
Entrepreneur,-0.09677493430966592,-0.21912785787593975,0.12421217812371416
Farmer,-0.26039796363352097,-0.0803046983062315,-0.1486460923452173
Middle management,0.30101573156800154,-0.09976462751279906,0.22968739788724768
Skilled labourers,0.010309750506311607,0.35352382734201176,-0.508835166369367
Unskilled labourers,-0.06402720458847666,0.5101278254560262,-0.1005686317038043
Social class A,-0.08908069649935427,-0.6159839212935311,0.4212825822625272
Social class B1,0.11833932720239623,-0.19989757312375164,0.305100863682712
Social class B2,0.011955961386136582,-0.1860585957460576,0.09069867849920216
Social class C,0.13102180736296679,0.5367506096914767,-0.5526175350333581
Social class D,-0.12227728537877744,0.46289240466264,-0.06457882080306868
Rented house,0.1909853443866374,0.8306871321960467,0.3662880759846629
Home owners,-0.18819279489351295,-0.830641422912083,-0.36662508822366097
1 car,0.46438847061761435,-0.3346664460271056,-0.11986814172559221
2 cars,-0.24138021803131154,-0.28727324019741307,-0.16414342266640783
No car,-0.27345319031501636,0.5746290009198787,0.24430619595083017
National Health Service,0.14519386535014564,0.6691523404240622,-0.4029173787693435
Private health insurance,-0.14053726490516558,-0.6698002197012094,0.4033935492155424
Income < 30.000,-0.12042064697154857,0.6567660439045878,0.19023104387833878
Income 30-45.000,0.1039130789933386,0.12503697936301958,-0.3566392990588842
Income 45-75.000,0.11011332833360721,-0.5611948511924882,0.10132333968404468
Income 75-122.000,0.017697594424331293,-0.3712672102593513,0.11717651216592873
Income >123.000,-0.09035291339377197,-0.25309856453383484,0.1369533747405135
Average income,0.15829567127661698,-0.6550563738392167,0.07711767352912764
Purchasing power class,0.32200028899630656,-0.6403007861618905,0.0907770186631941
Contribution private third party insurance,0.19091231451788548,-0.026507197430983433,0.05084197423089325
Contribution third party insurance (firms),0.02202027858418168,-0.02791288239394968,-0.016581537292051283
Contribution third party insurane (agriculture),0.02792886718229211,-0.028565258826048344,-0.06389258410205867
Contribution car policies,0.520155494832839,-0.026010553695901682,0.00620274298215843
Contribution delivery van policies,0.009538841609167157,-0.0013320426766437314,0.007475866007073564
Contribution motorcycle/scooter policies,0.0436357676389819,-0.014130329025393748,-0.02808433237823642
Contribution lorry policies,-0.0011501001581674928,-0.011201459277236623,-0.01060061731822653
Contribution trailer policies,0.005276348201899893,-0.014270320001959077,-0.02703532272752653
Contribution tractor policies,0.009946490602019301,-0.039742975415177136,-0.06110047109141447
Contribution agricultural machines policies ,0.003014213174008591,-0.008320347442823966,-0.028020369343393383
Contribution moped policies,-0.12829017740137,0.009315306355355832,-0.06130277162420505
Contribution life insurances,0.08989946015511005,-0.061847544882489974,0.014959226451300798
Contribution private accident insurance policies,-0.009603586338810977,0.0020235903196289145,-0.008565260742834443
Contribution family accidents insurance policies,0.060855740808574026,-0.028823176615037374,-0.009948962458577713
Contribution disability insurance policies,-0.0015448080009959945,-0.018115868051436723,-0.01875593807968137
Contribution fire policies,0.20467664311242156,-0.1622558151266929,-0.07627288349427065
Contribution surfboard policies,-0.023219534068993707,-0.021398045626238753,-0.005258075469187819
Contribution boat policies,-0.001720027398594272,-0.0205967683891462,0.005085164166117805
Contribution bicycle policies,-0.01835375408451033,-0.035550313206133555,0.006158966603320362
Contribution property insurance policies,0.01977907345802647,-0.018924943392568953,0.015685622524462886
Contribution social security insurance policies,0.06991053188456914,-0.06424739893398651,0.009289824595689269
Number of private third party insurance 1 - 12,0.1833848011441093,-0.015118436457969984,0.047949497308720494
Number of third party insurance (firms),0.012182269146714397,-0.030759184059258437,-0.022251937451066864
Number of third party insurane (agriculture),0.030165964091870348,-0.028914186796562127,-0.06476344445993434
Number of car policies,0.4809720520729413,-0.03706516183443537,0.006775728194670849
Number of delivery van policies,0.009059089848271671,0.002406610120604701,0.007480707206777049
Number of motorcycle/scooter policies,0.046276849017312986,-0.00977053880062096,-0.019857952197844846
Number of lorry policies,-0.00034880591079257856,-0.01267185714758305,-0.007436232431643319
Number of trailer policies,0.009749984069312266,-0.012774090617535712,-0.02683366161305913
Number of tractor policies,0.010230196635104378,-0.0439454885665312,-0.052116825137072526
Number of agricultural machines policies,0.012649548306186592,-0.0009444077116503143,-0.02210504145360218
Number of moped policies,-0.12242113367444506,0.01464968535430976,-0.061024215371069314
Number of life insurances,0.09241556256988957,-0.039796060711304,0.009034585736128265
Number of private accident insurance policies,-0.0029201736729399263,0.0007193775679548343,-0.0009095417861518102
Number of family accidents insurance policies,0.061482532678321336,-0.027792531362227514,-0.014247264129129595
Number of disability insurance policies,0.004368022502062184,-0.016307290069045542,-0.018977251696724318
Number of fire policies,0.1522454074842644,-0.0665133704581249,-0.022976782681523367
Number of surfboard policies,-0.02692407993286563,-0.026485705249670297,-0.0029543899727792738
Number of boat policies,0.008281967993412187,-0.022881242065490626,-0.00028959642350683223
Number of bicycle policies,-0.009934174011010398,-0.04098366718443096,0.009160247387912237
Number of property insurance policies,0.02728761849850035,-0.020789244535298682,0.0034860355972640483
Number of social security insurance policies,0.07252562081383344,-0.061089286726196915,0.011077646630303617
